Latitude,Longitude,Time,SMCI
36.20000076,103.3000031,2019-04-14 00:00:00,213
36.20000076,103.3000031,2019-04-15 00:00:00,201
36.20000076,103.3000031,2019-04-16 00:00:00,205
36.20000076,103.3000031,2019-04-17 00:00:00,218
36.20000076,103.3000031,2019-04-18 00:00:00,214
36.20000076,103.3000031,2019-04-19 00:00:00,219
36.20000076,103.3000031,2019-04-20 00:00:00,213
36.20000076,103.3000031,2019-04-21 00:00:00,221
36.20000076,103.3000031,2019-04-22 00:00:00,221
36.20000076,103.3000031,2019-04-23 00:00:00,222
36.20000076,103.3000031,2019-04-24 00:00:00,217
36.20000076,103.3000031,2019-04-25 00:00:00,215
36.20000076,103.3000031,2019-04-26 00:00:00,210
36.20000076,103.3000031,2019-04-27 00:00:00,205
36.20000076,103.3000031,2019-04-28 00:00:00,205
36.20000076,103.3000031,2019-04-29 00:00:00,213
36.20000076,103.3000031,2019-04-30 00:00:00,209
36.20000076,103.3000031,2019-05-01 00:00:00,211
36.20000076,103.3000031,2019-05-02 00:00:00,215
36.20000076,103.3000031,2019-05-03 00:00:00,202
36.20000076,103.3000031,2019-05-04 00:00:00,216
36.20000076,103.3000031,2019-05-05 00:00:00,208
36.20000076,103.3000031,2019-05-06 00:00:00,249
36.20000076,103.3000031,2019-05-07 00:00:00,329
36.20000076,103.3000031,2019-05-08 00:00:00,355
36.20000076,103.3000031,2019-05-09 00:00:00,343
36.20000076,103.3000031,2019-05-10 00:00:00,326
36.20000076,103.3000031,2019-05-11 00:00:00,320
36.20000076,103.3000031,2019-05-12 00:00:00,308
36.20000076,103.3000031,2019-05-13 00:00:00,299
36.20000076,103.3000031,2019-05-14 00:00:00,291
36.20000076,103.3000031,2019-05-15 00:00:00,286
36.20000076,103.3000031,2019-05-16 00:00:00,289
36.20000076,103.3000031,2019-05-17 00:00:00,286
36.20000076,103.3000031,2019-05-18 00:00:00,248
36.20000076,103.3000031,2019-05-19 00:00:00,250
36.20000076,103.3000031,2019-05-20 00:00:00,245
36.20000076,103.3000031,2019-05-21 00:00:00,253
36.20000076,103.3000031,2019-05-22 00:00:00,259
36.20000076,103.3000031,2019-05-23 00:00:00,258
36.20000076,103.3000031,2019-05-24 00:00:00,258
36.20000076,103.3000031,2019-05-25 00:00:00,230
36.20000076,103.3000031,2019-05-26 00:00:00,197
36.20000076,103.3000031,2019-05-27 00:00:00,255
36.20000076,103.3000031,2019-05-28 00:00:00,197
36.20000076,103.3000031,2019-05-29 00:00:00,198
36.20000076,103.3000031,2019-05-30 00:00:00,197
36.20000076,103.3000031,2019-05-31 00:00:00,198
36.20000076,103.3000031,2019-06-01 00:00:00,200
36.20000076,103.3000031,2019-06-02 00:00:00,200
36.20000076,103.3000031,2019-06-03 00:00:00,201
36.20000076,103.3000031,2019-06-04 00:00:00,201
36.20000076,103.3000031,2019-06-05 00:00:00,255
36.20000076,103.3000031,2019-06-06 00:00:00,201
36.20000076,103.3000031,2019-06-07 00:00:00,200
36.20000076,103.3000031,2019-06-08 00:00:00,200
36.20000076,103.3000031,2019-06-09 00:00:00,206
36.20000076,103.3000031,2019-06-10 00:00:00,199
36.20000076,103.3000031,2019-06-11 00:00:00,225
36.20000076,103.3000031,2019-06-12 00:00:00,209
36.20000076,103.3000031,2019-06-13 00:00:00,196
36.20000076,103.3000031,2019-06-14 00:00:00,193
36.20000076,103.3000031,2019-06-15 00:00:00,251
36.20000076,103.3000031,2019-06-16 00:00:00,229
36.20000076,103.3000031,2019-06-17 00:00:00,198
36.20000076,103.3000031,2019-06-18 00:00:00,196
36.20000076,103.3000031,2019-06-19 00:00:00,223
36.20000076,103.3000031,2019-06-20 00:00:00,197
36.20000076,103.3000031,2019-06-21 00:00:00,224
36.20000076,103.3000031,2019-06-22 00:00:00,256
36.20000076,103.3000031,2019-06-23 00:00:00,241
36.20000076,103.3000031,2019-06-24 00:00:00,287
36.20000076,103.3000031,2019-06-25 00:00:00,267
36.20000076,103.3000031,2019-06-26 00:00:00,259
36.20000076,103.3000031,2019-06-27 00:00:00,334
36.20000076,103.3000031,2019-06-28 00:00:00,355
36.20000076,103.3000031,2019-06-29 00:00:00,320
