Latitude,Longitude,Time,prec
36.15000153,103.3500061,2018/4/16 10:30,0
36.15000153,103.3500061,2018/4/17 10:30,0
36.15000153,103.3500061,2018/4/18 10:30,0
36.15000153,103.3500061,2018/4/19 10:30,0.092502594
36.15000153,103.3500061,2018/4/20 10:30,0.30250168
36.15000153,103.3500061,2018/4/21 10:30,0.08000183
36.15000153,103.3500061,2018/4/22 10:30,0.010002136
36.15000153,103.3500061,2018/4/23 10:30,0.18500137
36.15000153,103.3500061,2018/4/24 10:30,0.045001984
36.15000153,103.3500061,2018/4/25 10:30,0.057502747
36.15000153,103.3500061,2018/4/26 10:30,0.005001068
36.15000153,103.3500061,2018/4/27 10:30,0.002502441
36.15000153,103.3500061,2018/4/28 10:30,0
36.15000153,103.3500061,2018/4/29 10:30,0.3199997
36.15000153,103.3500061,2018/4/30 10:30,0.017501831
36.15000153,103.3500061,2018/5/1 10:30,0.002502441
36.15000153,103.3500061,2018/5/2 10:30,0.002502441
36.15000153,103.3500061,2018/5/3 10:30,0.010002136
36.15000153,103.3500061,2018/5/4 10:30,0.04750061
36.15000153,103.3500061,2018/5/5 10:30,0.025001526
36.15000153,103.3500061,2018/5/6 10:30,0
36.15000153,103.3500061,2018/5/7 10:30,0.087501526
36.15000153,103.3500061,2018/5/8 10:30,0.0225029
36.15000153,103.3500061,2018/5/9 10:30,0.16250229
36.15000153,103.3500061,2018/5/10 10:30,0.1475029
36.15000153,103.3500061,2018/5/11 10:30,0
36.15000153,103.3500061,2018/5/12 10:30,0
36.15000153,103.3500061,2018/5/13 10:30,0
36.15000153,103.3500061,2018/5/14 10:30,0
36.15000153,103.3500061,2018/5/15 10:30,0
36.15000153,103.3500061,2018/5/16 10:30,0
36.15000153,103.3500061,2018/5/17 10:30,0
36.15000153,103.3500061,2018/5/18 10:30,0.36500168
36.15000153,103.3500061,2018/5/19 10:30,0.15000153
36.15000153,103.3500061,2018/5/20 10:30,0.045001984
36.15000153,103.3500061,2018/5/21 10:30,0.10499954
36.15000153,103.3500061,2018/5/22 10:30,0
36.15000153,103.3500061,2018/5/23 10:30,0.045001984
