Latitude,Longitude,Time,shum
36.15000153,103.3500061,2018/4/8 10:30,0.001382001
36.15000153,103.3500061,2018/4/9 10:30,0.001719
36.15000153,103.3500061,2018/4/10 10:30,0.002892001
36.15000153,103.3500061,2018/4/11 10:30,0.002807001
36.15000153,103.3500061,2018/4/12 10:30,0.004944
36.15000153,103.3500061,2018/4/13 10:30,0.004903
36.15000153,103.3500061,2018/4/14 10:30,0.003675001
36.15000153,103.3500061,2018/4/15 10:30,0.004303001
36.15000153,103.3500061,2018/4/16 10:30,0.002826
36.15000153,103.3500061,2018/4/17 10:30,0.002649
36.15000153,103.3500061,2018/4/18 10:30,0.004586
36.15000153,103.3500061,2018/4/19 10:30,0.006401001
36.15000153,103.3500061,2018/4/20 10:30,0.007084001
36.15000153,103.3500061,2018/4/21 10:30,0.007823
36.15000153,103.3500061,2018/4/22 10:30,0.00935
36.15000153,103.3500061,2018/4/23 10:30,0.006797001
36.15000153,103.3500061,2018/4/24 10:30,0.006935
36.15000153,103.3500061,2018/4/25 10:30,0.006993001
36.15000153,103.3500061,2018/4/26 10:30,0.007176001
36.15000153,103.3500061,2018/4/27 10:30,0.005921001
36.15000153,103.3500061,2018/4/28 10:30,0.006098
36.15000153,103.3500061,2018/4/29 10:30,0.00622
36.15000153,103.3500061,2018/4/30 10:30,0.008494001
36.15000153,103.3500061,2018/5/1 10:30,0.007163001
36.15000153,103.3500061,2018/5/2 10:30,0.006005
36.15000153,103.3500061,2018/5/3 10:30,0.006539
36.15000153,103.3500061,2018/5/4 10:30,0.005128
36.15000153,103.3500061,2018/5/5 10:30,0.00574
36.15000153,103.3500061,2018/5/6 10:30,0.005912
36.15000153,103.3500061,2018/5/7 10:30,0.00656
36.15000153,103.3500061,2018/5/8 10:30,0.008036001
36.15000153,103.3500061,2018/5/9 10:30,0.006868001
36.15000153,103.3500061,2018/5/10 10:30,0.006599
36.15000153,103.3500061,2018/5/11 10:30,0.006474001
36.15000153,103.3500061,2018/5/12 10:30,0.006312
36.15000153,103.3500061,2018/5/13 10:30,0.005138001
36.15000153,103.3500061,2018/5/14 10:30,0.006054001
36.15000153,103.3500061,2018/5/15 10:30,0.006644001
36.15000153,103.3500061,2018/5/16 10:30,0.008141
36.15000153,103.3500061,2018/5/17 10:30,0.008349
36.15000153,103.3500061,2018/5/18 10:30,0.009445
36.15000153,103.3500061,2018/5/19 10:30,0.008758001
36.15000153,103.3500061,2018/5/20 10:30,0.008618001
36.15000153,103.3500061,2018/5/21 10:30,0.005728001
36.15000153,103.3500061,2018/5/22 10:30,0.006212
36.15000153,103.3500061,2018/5/23 10:30,0.008364001
36.15000153,103.3500061,2018/5/24 10:30,0.008685
36.15000153,103.3500061,2018/5/25 10:30,0.00591
36.15000153,103.3500061,2018/5/26 10:30,0.006029001
36.15000153,103.3500061,2018/5/27 10:30,0.005721001
36.15000153,103.3500061,2018/5/28 10:30,0.005694
36.15000153,103.3500061,2018/5/29 10:30,0.004966
36.15000153,103.3500061,2018/5/30 10:30,0.005827
36.15000153,103.3500061,2018/5/31 10:30,0.006608
36.15000153,103.3500061,2018/6/1 10:30,0.005109001
36.15000153,103.3500061,2018/6/2 10:30,0.005101001
36.15000153,103.3500061,2018/6/3 10:30,0.007198
36.15000153,103.3500061,2018/6/4 10:30,0.00794
36.15000153,103.3500061,2018/6/5 10:30,0.006214
36.15000153,103.3500061,2018/6/6 10:30,0.007611001
36.15000153,103.3500061,2018/6/7 10:30,0.007944001
36.15000153,103.3500061,2018/6/8 10:30,0.006839
