Latitude,Longitude,Time,SMCI
36.20000076,103.3000031,2018-01-01 00:00:00,194
36.20000076,103.3000031,2018-01-02 00:00:00,196
36.20000076,103.3000031,2018-01-03 00:00:00,193
36.20000076,103.3000031,2018-01-04 00:00:00,191
36.20000076,103.3000031,2018-01-05 00:00:00,191
36.20000076,103.3000031,2018-01-06 00:00:00,193
36.20000076,103.3000031,2018-01-07 00:00:00,192
36.20000076,103.3000031,2018-01-08 00:00:00,187
36.20000076,103.3000031,2018-01-09 00:00:00,189
36.20000076,103.3000031,2018-01-10 00:00:00,190
36.20000076,103.3000031,2018-01-11 00:00:00,190
36.20000076,103.3000031,2018-01-12 00:00:00,190
36.20000076,103.3000031,2018-01-13 00:00:00,193
36.20000076,103.3000031,2018-01-14 00:00:00,192
36.20000076,103.3000031,2018-01-15 00:00:00,193
36.20000076,103.3000031,2018-01-16 00:00:00,193
36.20000076,103.3000031,2018-01-17 00:00:00,194
36.20000076,103.3000031,2018-01-18 00:00:00,195
36.20000076,103.3000031,2018-01-19 00:00:00,193
36.20000076,103.3000031,2018-01-20 00:00:00,193
36.20000076,103.3000031,2018-01-21 00:00:00,194
36.20000076,103.3000031,2018-01-22 00:00:00,194
36.20000076,103.3000031,2018-01-23 00:00:00,193
36.20000076,103.3000031,2018-01-24 00:00:00,196
36.20000076,103.3000031,2018-01-25 00:00:00,197
36.20000076,103.3000031,2018-01-26 00:00:00,197
36.20000076,103.3000031,2018-01-27 00:00:00,200
36.20000076,103.3000031,2018-01-28 00:00:00,191
36.20000076,103.3000031,2018-01-29 00:00:00,199
36.20000076,103.3000031,2018-01-30 00:00:00,195
36.20000076,103.3000031,2018-01-31 00:00:00,195
36.20000076,103.3000031,2018-02-01 00:00:00,194
36.20000076,103.3000031,2018-02-02 00:00:00,195
36.20000076,103.3000031,2018-02-03 00:00:00,195
36.20000076,103.3000031,2018-02-04 00:00:00,202
36.20000076,103.3000031,2018-02-05 00:00:00,203
36.20000076,103.3000031,2018-02-06 00:00:00,203
36.20000076,103.3000031,2018-02-07 00:00:00,203
36.20000076,103.3000031,2018-02-08 00:00:00,205
36.20000076,103.3000031,2018-02-09 00:00:00,205
36.20000076,103.3000031,2018-02-10 00:00:00,203
36.20000076,103.3000031,2018-02-11 00:00:00,197
36.20000076,103.3000031,2018-02-12 00:00:00,197
36.20000076,103.3000031,2018-02-13 00:00:00,204
36.20000076,103.3000031,2018-02-14 00:00:00,219
